right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_shoulder_ang_x,right_shoulder_ang_y,right_shoulder_ang_z,right_shoulder_acc_x,right_shoulder_acc_y,right_shoulder_acc_z,left_shoulder_ang_x,left_shoulder_ang_y,left_shoulder_ang_z,left_shoulder_acc_x,left_shoulder_acc_y,left_shoulder_acc_z,,,,Label
0.0975,0.5612,-0.3528,0.5202,0.8107,-1.4866,0.5963,-0.6399,10.2328,1.1508,0.3946,-1.3021,-2.6922,0.1581,3.9621,9.694,-1.2623,1.0226,-1.797,-0.8108,-5.1756,8.2222,-0.999042,0,1698371511,66
0.0993,0.4543,-0.3553,0.3295,1.0032,-1.5567,0.2882,-0.8397,10.1958,1.0021,0.3173,-1.2529,-2.7656,0.234,3.9713,9.8298,-1.2864,0.9595,-1.7652,-0.8233,-5.3309,8.3279,-0.999256,0,1698371511,66
0.1004,0.3729,-0.3598,0.1626,1.0871,-1.6341,0.2056,-1.0657,10.0446,0.7687,0.2043,-1.172,-2.769,0.2745,3.9756,9.9409,-1.2931,0.9096,-1.7295,-0.8212,-5.4558,8.4218,-0.999422,0,1698371511,67
0.1021,0.3211,-0.3648,0.0465,1.0372,-1.6951,0.0597,-1.2391,9.9734,0.5099,0.1081,-1.0964,-2.7069,0.2624,3.9951,10.0675,-1.3009,0.8546,-1.7102,-0.8199,-5.5519,8.5278,-0.999551,0,1698371511,68
0.1045,0.3008,-0.3686,-0.0065,0.9329,-1.6641,-0.1329,-1.3952,10.1287,0.3474,0.0606,-1.0437,-2.5956,0.199,4.0387,10.2551,-1.3436,0.7881,-1.7268,-0.8287,-5.6355,8.6522,-0.999651,0,1698371511,69
0.1073,0.3075,-0.37,-0.0094,0.7786,-1.6477,-0.3515,-1.5268,10.5904,0.2853,0.0561,-1.053,-2.4725,0.1008,4.0944,10.4912,-1.4466,0.6716,-1.7738,-0.846,-5.7423,8.7827,-0.999728,0,1698371511,70
0.1096,0.3016,-0.3697,0.0015,0.7806,-1.767,-0.575,-1.6269,11.2026,0.1868,0.0518,-1.1114,-2.3922,-0.0176,4.1361,10.7278,-1.6025,0.5036,-1.835,-0.8381,-5.9197,8.9167,-0.999789,0,1698371511,70
0.1108,0.2569,-0.3687,0.0478,1.0037,-1.9091,-0.7946,-1.6675,11.7912,0.1521,0.0228,-1.1576,-2.3775,-0.1297,4.1546,10.9588,-1.7671,0.3569,-1.891,-0.8089,-6.1854,9.0274,-0.999836,0,1698371511,71
0.1108,0.1822,-0.3654,0.1514,0.8412,-1.8849,-1.0036,-1.3441,11.8069,0.2186,-0.0448,-1.2454,-2.4105,-0.2373,4.1649,11.1778,-1.8914,0.2992,-1.9226,-0.7916,-6.4862,9.1257,-0.999873,0,1698371511,72
0.1106,0.1257,-0.3587,0.2899,0.4449,-1.8081,-1.2281,-0.4958,12.0406,0.3141,-0.1655,-1.4245,-2.4795,-0.3287,4.1513,11.3739,-1.9446,0.3243,-1.9523,-0.8076,-6.7786,9.2465,-0.999901,0,1698371511,73
