right q,right q dot,left q,left q dot,right_shoulder_ang_x,right_shoulder_ang_y,right_shoulder_ang_z,right_shoulder_acc_x,right_shoulder_acc_y,right_shoulder_acc_z,left_shoulder_ang_x,left_shoulder_ang_y,left_shoulder_ang_z,left_shoulder_acc_x,left_shoulder_acc_y,left_shoulder_acc_z,Label
0.1068,0.6883,-0.2413,-0.1777,-0.3443,0.1333,0.7911,0.0416,-0.0626,0.3651,-0.3906,0.0328,0.8206,-0.1231,0.1419,0.2688,35
0.1068,0.6883,-0.2413,-0.1777,-0.341,0.1358,0.7874,0.0284,-0.0595,0.3643,-0.3852,0.0342,0.8162,-0.1301,0.1394,0.2668,36
0.1147,0.6811,-0.2438,-0.1795,-0.341,0.1358,0.7874,0.0284,-0.0595,0.3643,-0.3852,0.0342,0.8162,-0.1301,0.1394,0.2668,36
0.1225,0.6704,-0.2464,-0.1822,-0.338,0.1382,0.7845,0.014,-0.0555,0.3643,-0.3807,0.0357,0.8121,-0.1365,0.1369,0.2659,36
0.1225,0.6704,-0.2464,-0.1822,-0.3352,0.1405,0.7825,-0.0013,-0.0505,0.3651,-0.377,0.0374,0.8085,-0.1424,0.1344,0.2661,37
0.1302,0.6564,-0.2489,-0.1854,-0.3352,0.1405,0.7825,-0.0013,-0.0505,0.3651,-0.377,0.0374,0.8085,-0.1424,0.1344,0.2661,37
0.1377,0.6394,-0.2515,-0.1887,-0.3326,0.1425,0.7815,-0.0172,-0.0445,0.3664,-0.3742,0.0391,0.8055,-0.1476,0.1318,0.2671,37
0.1377,0.6394,-0.2515,-0.1887,-0.3302,0.1444,0.7813,-0.0333,-0.0376,0.3681,-0.3723,0.0408,0.803,-0.1521,0.1292,0.269,38
0.145,0.6198,-0.2541,-0.1914,-0.3302,0.1444,0.7813,-0.0333,-0.0376,0.3681,-0.3723,0.0408,0.803,-0.1521,0.1292,0.269,38
0.1522,0.598,-0.2567,-0.1934,-0.3281,0.146,0.782,-0.0492,-0.0298,0.3699,-0.3713,0.0426,0.8012,-0.1561,0.1266,0.2715,38
0.1522,0.598,-0.2567,-0.1934,-0.3264,0.1474,0.7835,-0.0645,-0.0211,0.3717,-0.3712,0.0445,0.7999,-0.1594,0.1239,0.2744,39
0.159,0.5744,-0.2593,-0.1942,-0.3264,0.1474,0.7835,-0.0645,-0.0211,0.3717,-0.3712,0.0445,0.7999,-0.1594,0.1239,0.2744,39
0.1656,0.5495,-0.2619,-0.1937,-0.3249,0.1486,0.7858,-0.0791,-0.0117,0.3733,-0.3719,0.0464,0.7992,-0.1622,0.1212,0.2777,39
0.1656,0.5495,-0.2619,-0.1937,-0.3238,0.1497,0.7886,-0.0926,-0.0016,0.3745,-0.3736,0.0484,0.7991,-0.1647,0.1184,0.2811,40
0.172,0.5237,-0.2644,-0.1916,-0.3238,0.1497,0.7886,-0.0926,-0.0016,0.3745,-0.3736,0.0484,0.7991,-0.1647,0.1184,0.2811,40
