right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_back_ang_x,right_back_ang_y,right_back_ang_z,right_back_acc_x,right_back_acc_y,right_back_acc_z,left_back_ang_x,left_back_ang_y,left_back_ang_z,left_back_acc_x,left_back_acc_y,left_back_acc_z,,,,Label
-0.0758,0.2889,-0.3232,-0.6462,1.0639,-0.985,-2.0344,-1.0796,9.1797,1.2244,0.4555,-0.6555,-0.058,9.1522,0.0049,4.38,1.6296,0.7857,-0.2898,9.7723,0.0309,0.5109,0.49523,0,1698651636.3055,42
-0.0734,0.2726,-0.3274,-0.6021,0.9911,-1.0069,-2.0543,-1.0762,9.0381,1.141,0.2793,-0.8342,-0.0668,9.0834,0.0216,4.329,1.6459,0.9587,-0.217,9.6931,0.0557,0.4762,0.414418,0,1698651636.3156,42
-0.0707,0.2699,-0.3316,-0.5503,0.7164,-1.0077,-2.0791,-1.0174,8.9564,1.0795,0.0777,-0.9959,-0.0856,9.0449,0.0305,4.3017,1.6159,1.0325,-0.1545,9.6401,0.072,0.4549,0.329898,0,1698651636.3253,43
-0.0672,0.2888,-0.3357,-0.4941,0.4144,-1.0347,-2.0797,-0.9329,8.9237,1.0197,-0.1505,-1.142,-0.1207,9.0004,0.0553,4.2369,1.6182,1.0353,-0.1196,9.5813,0.0812,0.4399,0.217224,0,1698651636.3364,44
-0.0628,0.341,-0.3388,-0.4353,0.3128,-1.0966,-1.9906,-0.9962,8.8465,1.0114,-0.3107,-1.3833,-0.1377,8.9251,0.0804,4.1478,1.689,0.9676,-0.13,9.5177,0.0972,0.4224,0.081856,0,1698651636.3457,44
-0.0582,0.3816,-0.3405,-0.3588,0.227,-1.062,-1.8294,-1.0587,8.856,0.8869,-0.3524,-1.731,-0.1288,8.8562,0.0834,4.089,1.704,0.8665,-0.1645,9.4692,0.1032,0.3703,-0.048232,0,1698651636.3557,45
-0.0541,0.3798,-0.3409,-0.281,0.1255,-0.9934,-1.6369,-1.0971,8.9189,0.7741,-0.5127,-1.8749,-0.1951,8.8533,0.0745,4.0383,1.6005,0.7709,-0.1947,9.4627,0.072,0.3146,-0.162407,0,1698651636.365,46
-0.0501,0.392,-0.3409,-0.2073,0.027,-1.0091,-1.466,-1.1646,8.9205,0.8124,-0.8485,-1.7242,-0.3514,8.8918,0.101,4.0424,1.5406,0.6719,-0.1943,9.5095,0.0807,0.3048,-0.267066,0,1698651636.3752,46
-0.0455,0.4289,-0.3407,-0.1407,-0.1074,-1.0546,-1.312,-1.2141,8.9771,0.7764,-1.1025,-1.4623,-0.4993,8.9239,0.1397,4.0449,1.4617,0.5422,-0.1736,9.5879,0.1414,0.2942,-0.367727,0,1698651636.387,47
-0.0397,0.4546,-0.3403,-0.0864,-0.2093,-1.0976,-1.1251,-1.3188,9.0699,0.7067,-1.166,-1.287,-0.592,8.9478,0.1727,3.9901,1.3613,0.3979,-0.177,9.6509,0.1819,0.2729,-0.463188,0,1698651636.3967,48
-0.0347,0.4325,-0.3399,-0.0565,-0.3353,-1.0943,-0.9091,-1.4068,9.138,0.6654,-1.1719,-1.2513,-0.6623,9.0161,0.2008,3.9655,1.3335,0.1436,-0.1661,9.6888,0.2168,0.2039,-0.546091,0,1698651636.4055,48
-0.0314,0.3953,-0.3398,-0.0493,-0.5261,-1.0824,-0.6928,-1.4017,9.2553,0.6839,-1.1731,-1.0916,-0.7467,9.1271,0.2322,3.9934,1.3469,-0.1255,-0.1661,9.7541,0.2338,0.1352,-0.611674,0,1698651636.4154,49
-0.0279,0.3944,-0.3395,-0.0356,-0.6418,-1.1447,-0.4967,-1.2953,9.4026,0.7688,-1.1527,-0.7459,-0.8225,9.2039,0.2318,3.995,1.3743,-0.361,-0.2275,9.8262,0.2202,0.128,-0.664914,0,1698651636.425,50
-0.0238,0.4199,-0.3388,0.0016,-0.7207,-1.1573,-0.3188,-1.1317,9.3649,0.7674,-1.1121,-0.4357,-0.8609,9.2332,0.1878,3.9503,1.3555,-0.595,-0.2871,9.8339,0.2255,0.1432,-0.708997,0,1698651636.4357,50
-0.0201,0.4138,-0.3372,0.0575,-0.7632,-1.0777,-0.115,-1.0635,9.2025,0.7267,-1.0201,-0.2757,-0.8498,9.2471,0.1837,3.9268,1.2685,-0.7691,-0.3266,9.8109,0.2344,0.154,-0.7428,0,1698651636.4457,51
-0.0171,0.362,-0.3348,0.0921,-0.8081,-0.9928,0.0962,-1.0516,9.245,0.6826,-0.9128,-0.1505,-0.802,9.2881,0.1986,3.9484,1.1149,-0.8822,-0.3325,9.8188,0.2292,0.1127,-0.768513,0,1698651636.4552,52
-0.0148,0.3116,-0.3324,0.1066,-0.9112,-0.8834,0.2695,-1.0266,9.4609,0.5681,-0.8142,0.0378,-0.7308,9.3277,0.1784,3.9649,0.9095,-0.8831,-0.2988,9.8313,0.2226,0.0685,-0.799035,0,1698651636.4653,52
-0.012,0.2982,-0.3305,0.1191,-0.9001,-0.7814,0.3999,-1.0628,9.5625,0.4944,-0.6762,0.1799,-0.6193,9.3229,0.1464,3.96,0.6681,-0.8403,-0.2496,9.7993,0.2171,0.0217,-0.837805,0,1698651636.4751,53
-0.0081,0.3244,-0.3287,0.1257,-0.7832,-0.6748,0.5012,-1.0618,9.4447,0.4818,-0.5426,0.2161,-0.4738,9.3167,0.1426,3.9408,0.3622,-0.8727,-0.1986,9.7146,0.2049,-0.0342,-0.873333,0,1698651636.4856,54
-0.0036,0.3558,-0.3263,0.1597,-0.6567,-0.5359,0.6063,-1.0121,9.2265,0.514,-0.4482,0.165,-0.3166,9.3267,0.1528,3.9108,0.0096,-0.9618,-0.1556,9.6523,0.1935,-0.0434,-0.901607,0,1698651636.4951,54
0.0004,0.352,-0.3226,0.211,-0.5473,-0.3981,0.6845,-0.9882,9.1172,0.5657,-0.3502,0.0366,-0.1501,9.3403,0.1501,3.8857,-0.3019,-1.0071,-0.1179,9.6367,0.1874,-0.0302,-0.923576,0,1698651636.5051,55
0.0037,0.3496,-0.3177,0.2573,-0.4725,-0.2945,0.7112,-0.9643,9.1472,0.6521,-0.2664,-0.0511,0.0048,9.357,0.1271,3.8633,-0.5335,-0.9852,-0.0716,9.6605,0.1729,-0.0133,-0.940639,0,1698651636.5162,56
