q,right_acc_x,right_acc_y,right_acc_z,right_ang_x,right_ang_y,right_ang_z,left_acc_x,left_acc_y,left_acc_z,left_ang_x,left_ang_y,left_ang_z,label
-0.2797,0.1393,-0.667,0.8044,1.0034,3.3673,9.8957,0.4419,0.0539,0.5504,1.1,-2.4941,9.9468,12
-0.2814,0.1393,-0.667,0.8044,1.0034,3.3673,9.8957,0.4419,0.0539,0.5504,1.1,-2.4941,9.9468,12
-0.2838,0.3337,-0.6951,1.1872,1.0016,3.5164,10.0861,0.5494,-0.4728,0.8219,1.1461,-2.5116,10.29,13
-0.2868,0.3337,-0.6951,1.1872,1.0016,3.5164,10.0861,0.5494,-0.4728,0.8219,1.1461,-2.5116,10.29,14
-0.2894,0.7663,-0.6235,1.433,1.0194,3.7335,10.4324,0.6791,-0.9192,1.0735,1.313,-2.5442,10.5717,15
-0.2911,0.7663,-0.6235,1.433,1.0194,3.7335,10.4324,0.6791,-0.9192,1.0735,1.313,-2.5442,10.5717,16
-0.2915,1.2217,-0.6042,1.5715,1.0756,3.9423,10.8125,0.8276,-1.2121,1.2377,1.5076,-2.5739,10.7265,16
-0.291,1.2217,-0.6042,1.5715,1.0756,3.9423,10.8125,0.8276,-1.2121,1.2377,1.5076,-2.5739,10.7265,17
-0.2896,1.5415,-0.7316,1.6885,1.1725,4.103,11.1354,0.9151,-1.411,1.3246,1.5937,-2.5647,10.8026,18
-0.2886,1.5415,-0.7316,1.6885,1.1725,4.103,11.1354,0.9151,-1.411,1.3246,1.5937,-2.5647,10.8026,19
-0.2852,1.7169,-0.9595,1.9181,1.2594,4.2792,11.4319,0.8394,-1.6378,1.4375,1.5049,-2.5085,10.9559,19
-0.2799,1.7169,-0.9595,1.9181,1.2594,4.2792,11.4319,0.8394,-1.6378,1.4375,1.5049,-2.5085,10.9559,20
-0.2721,1.7679,-1.14,2.3438,1.2864,4.5801,11.7706,0.603,-1.9381,1.6748,1.301,-2.4151,11.2877,21
-0.2644,1.7679,-1.14,2.3438,1.2864,4.5801,11.7706,0.603,-1.9381,1.6748,1.301,-2.4151,11.2877,22
-0.2589,1.7679,-1.14,2.3438,1.2864,4.5801,11.7706,0.603,-1.9381,1.6748,1.301,-2.4151,11.2877,22
-0.2563,1.6189,-1.2059,2.923,1.2558,5.0592,12.2079,0.2951,-2.1888,2.036,1.1552,-2.3055,11.8205,23
-0.2591,1.1886,-1.1887,3.4937,1.2104,5.6516,12.7673,0.0165,-2.1602,2.4604,1.1921,-2.2313,12.497,24
-0.2633,1.1886,-1.1887,3.4937,1.2104,5.6516,12.7673,0.0165,-2.1602,2.4604,1.1921,-2.2313,12.497,25
-0.2673,1.1886,-1.1887,3.4937,1.2104,5.6516,12.7673,0.0165,-2.1602,2.4604,1.1921,-2.2313,12.497,26
-0.2681,0.5163,-1.0434,3.9111,1.259,6.1867,13.2952,-0.0466,-1.7079,2.8485,1.3828,-2.1657,13.0328,26
-0.2642,-0.3609,-0.5936,4.1897,1.4678,6.4909,13.4184,0.2753,-0.9356,3.0602,1.5808,-1.9819,12.9896,27
-0.2577,-0.3609,-0.5936,4.1897,1.4678,6.4909,13.4184,0.2753,-0.9356,3.0602,1.5808,-1.9819,12.9896,28
-0.2482,-1.437,0.3364,4.4634,1.7028,6.4882,12.8141,0.8579,-0.154,3.0349,1.5898,-1.624,12.2034,29
-0.2342,-1.437,0.3364,4.4634,1.7028,6.4882,12.8141,0.8579,-0.154,3.0349,1.5898,-1.624,12.2034,29
-0.2196,-1.437,0.3364,4.4634,1.7028,6.4882,12.8141,0.8579,-0.154,3.0349,1.5898,-1.624,12.2034,30
-0.2043,-2.5589,1.6678,4.8277,1.7394,6.24,11.5761,1.3722,0.2754,2.8712,1.3148,-1.1291,10.9949,31
-0.1921,-3.5786,2.7156,5.2123,1.4319,5.8952,10.1479,1.6054,0.1581,2.7522,0.817,-0.5873,9.8478,32
-0.1792,-3.5786,2.7156,5.2123,1.4319,5.8952,10.1479,1.6054,0.1581,2.7522,0.817,-0.5873,9.8478,33
-0.1699,-3.5786,2.7156,5.2123,1.4319,5.8952,10.1479,1.6054,0.1581,2.7522,0.817,-0.5873,9.8478,33
-0.1637,-4.3336,2.9197,5.4677,0.7902,5.6113,8.9652,1.5024,-0.3714,2.8192,0.2264,-0.122,9.094,34
-0.1608,-4.4666,2.6133,5.4859,0.0108,5.469,8.3245,1.0661,-1.056,3.1349,-0.2331,0.1568,8.8835,35
